"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGACAO";"31";"PHS";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"280000050592";"ESSA É A SOLUÇÃO";"MDB / PHS"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGACAO";"18";"REDE";"REDE SUSTENTABILIDADE";"280000050589";"UNIDOS PARA TRANSFORMAR O BRASIL";"REDE / PV"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGACAO";"77";"SOLIDARIEDADE";"SOLIDARIEDADE";"280000050070";"PARA UNIR O BRASIL";"PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"PARTIDO ISOLADO";"16";"PSTU";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO";"280000050040";"#NULO#";"PSTU"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"COLIGACAO";"28";"PRTB";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"280000050386";"BRASIL ACIMA DE TUDO, DEUS ACIMA DE TODOS";"PSL / PRTB"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"COLIGACAO";"10";"PRB";"PARTIDO REPUBLICANO BRASILEIRO";"280000050070";"PARA UNIR O BRASIL";"PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"PARTIDO ISOLADO";"54";"PPL";"PARTIDO PÁTRIA LIVRE";"280000050638";"#NULO#";"PPL"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGACAO";"36";"PTC";"PARTIDO TRABALHISTA CRISTÃO";"280000050478";"MUDANÇA DE VERDADE";"PODE / PRP / PSC / PTC"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"COLIGACAO";"65";"PC do B";"PARTIDO COMUNISTA DO BRASIL";"280000050703";"O Povo Feliz de Novo";"PT / PC do B / PROS"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"COLIGACAO";"12";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"280000050163";"BRASIL SOBERANO";"PDT / AVANTE"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGACAO";"21";"PCB";"PARTIDO COMUNISTA BRASILEIRO";"280000050035";"VAMOS SEM MEDO DE MUDAR O BRASIL";"PSOL / PCB"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGACAO";"11";"PP";"PARTIDO PROGRESSISTA";"280000050070";"PARA UNIR O BRASIL";"PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGACAO";"12";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"280000050163";"BRASIL SOBERANO";"PDT / AVANTE"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"PARTIDO ISOLADO";"51";"PATRI";"PATRIOTA";"280000050072";"#NULO#";"PATRI"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGACAO";"28";"PRTB";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"280000050386";"BRASIL ACIMA DE TUDO, DEUS ACIMA DE TODOS";"PSL / PRTB"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"COLIGACAO";"22";"PR";"PARTIDO DA REPÚBLICA";"280000050070";"PARA UNIR O BRASIL";"PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"PARTIDO ISOLADO";"51";"PATRI";"PATRIOTA";"280000050072";"#NULO#";"PATRI"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"COLIGACAO";"25";"DEM";"DEMOCRATAS";"280000050070";"PARA UNIR O BRASIL";"PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"COLIGACAO";"15";"MDB";"MOVIMENTO DEMOCRÁTICO BRASILEIRO";"280000050592";"ESSA É A SOLUÇÃO";"MDB / PHS"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGACAO";"55";"PSD";"PARTIDO SOCIAL DEMOCRÁTICO";"280000050070";"PARA UNIR O BRASIL";"PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGACAO";"45";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"280000050070";"PARA UNIR O BRASIL";"PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD"
"08/10/2018";"13:03:16";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"295";"Eleição Geral Federal 2018";"07/10/2018";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"PARTIDO ISOLADO";"16";"PSTU";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO";"280000050040";"#NULO#";"PSTU"
