"","coligacao","UF","votos_colig","eleitos_UF","votos_UF","QE","cadeiras_colig","cadeiras_round11"
"99","RENOVA RN I (Vagas: 1)","RN",213373,8,1403994,175499,1,1
"100","TRABALHO E SUPERAÇÃO I (Vagas: 4)","RN",607180,8,1403994,175499,3,4
"101","RONDÔNIA ESPERANÇA DE UM NOVO TEMPO (Vagas: 2)","RO",171620,8,699128,87391,1,2
"102","RONDONIA UNIDOS SOMOS FORTES 1 (Vagas: 2)","RO",164238,8,699128,87391,1,2
"103","JUNTOS POR UM NOVO TEMPO PARA RONDONIA II (Vagas: 3)","RO",238751,8,699128,87391,2,4
"104","RORAIMA ACIMA DE TUDO (Vagas: 2)","RR",57505,8,246282,30785,1,3
"105","TODOS POR RORAIMA 1 (Vagas: 1)","RR",38094,8,246282,30785,1,2
"106","UNIDOS POR RORAIMA  (Vagas: 2)","RR",59054,8,246282,30785,1,3
"107","ENDIREITA RIO GRANDE (Vagas: 4)","RS",298669,31,5057523,163146,1,2
"108","Independência e Luta para Mudar o Rio Grande (Vagas: 1)","RS",185961,31,5057523,163146,1,1
"109","RIO GRANDE VENCEDOR (Vagas: 1)","RS",224925,31,5057523,163146,1,1
"110","FRENTE TRABALHISTA SUSTENTAVEL (Vagas: 3)","RS",517020,31,5057523,163146,3,3
"111","Unidos pelo Rio Grande (Vagas: 3)","RS",587832,31,5057523,163146,3,4
"112","Movimento Democrático Brasileiro (Vagas: 4)","RS",674805,31,5057523,163146,4,5
"113","Partido dos Trabalhadores (Vagas: 5)","RS",793819,31,5057523,163146,4,5
"114","COLIGAÇÃO RIO GRANDE UNIDO E FORTE (Vagas: 9)","RS",1385041,31,5057523,163146,8,10
"115","Partido dos Trabalhadores (Vagas: 1)","SC",347166,16,3053701,190856,1,2
"116","PSD/PP/PV (Vagas: 3)","SC",520750,16,3053701,190856,2,3
"117","UNIÃO E TRABALHO (Vagas: 2)","SC",509061,16,3053701,190856,2,3
"118","MUITO MAIS SANTA CATARINA (Vagas: 3)","SC",623335,16,3053701,190856,3,4
"119","Partido Social Liberal (Vagas: 4)","SC",769926,16,3053701,190856,4,4
"120","CORAGEM PARA MUDAR SERGIPE (Vagas: 3)","SE",290253,8,959852,119982,2,3
"121","PRA SERGIPE AVANÇAR (Vagas: 4)","SE",417308,8,959852,119982,3,5
"122","Movimento Democrático Brasileiro (Vagas: 2)","SP",527821,70,21102209,301460,1,2
"123","Partido Democrático Trabalhista (Vagas: 1)","SP",451442,70,21102209,301460,1,1
"124","Partido Verde (Vagas: 1)","SP",414051,70,21102209,301460,1,1
"125","Partido Novo (Vagas: 3)","SP",899904,70,21102209,301460,2,3
"126","UNIDOS POR SÃO PAULO (Vagas: 3)","SP",754593,70,21102209,301460,2,2
"127","SEM MEDO DE MUDAR SÃO PAULO (Vagas: 3)","SP",922692,70,21102209,301460,3,3
"128","Coligação PSB PTB PPS PSC (Vagas: 7)","SP",1746226,70,21102209,301460,5,6
"129","Partido da República (Vagas: 7)","SP",1734561,70,21102209,301460,5,6
"130","Partido Republicano Brasileiro (Vagas: 6)","SP",1591587,70,21102209,301460,5,6
"131","SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES (Vagas: 9)","SP",2156813,70,21102209,301460,7,8
"132","PSDB-PSD-DEM-PP (Vagas: 17)","SP",4137965,70,21102209,301460,13,15
"133","Partido Social Liberal (Vagas: 10)","SP",4409549,70,21102209,301460,14,17
"134","RENOVA TOCANTINS (Vagas: 3)","TO",227826,8,707005,88376,2,3
"135","TOCANTINS DE OPORTUNIDADES (Vagas: 4)","TO",323252,8,707005,88376,3,5
